state,date,value
LA,2004-01-01,19.2
LA,2005-01-01,20.2
LA,2006-01-01,19.4
LA,2007-01-01,18.8
LA,2008-01-01,17.6
LA,2009-01-01,17.6
LA,2010-01-01,18.8
LA,2011-01-01,20.5
LA,2012-01-01,20.1
LA,2013-01-01,20.0
LA,2014-01-01,19.9
LA,2015-01-01,19.5
LA,2016-01-01,20.1
LA,2017-01-01,19.6
LA,2018-01-01,18.7
LA,2019-01-01,18.8
LA,2020-01-01,17.8
LA,2021-01-01,19.5
LA,2022-01-01,18.6
LA,2023-01-01,18.9
LA,2024-01-01,18.6
ME,1989-01-01,10.7
ME,1990-01-01,
ME,1991-01-01,
ME,1992-01-01,
ME,1993-01-01,13.7
ME,1994-01-01,
ME,1995-01-01,12.3
ME,1996-01-01,12.0
ME,1997-01-01,10.7
ME,1998-01-01,10.3
ME,1999-01-01,10.6
ME,2000-01-01,9.9
ME,2001-01-01,10.2
ME,2002-01-01,11.0
ME,2003-01-01,10.7
ME,2004-01-01,11.5
ME,2005-01-01,12.3
ME,2006-01-01,12.7
ME,2007-01-01,12.2
ME,2008-01-01,12.6
ME,2009-01-01,12.6
ME,2010-01-01,13.1
ME,2011-01-01,14.2
ME,2012-01-01,14.4
ME,2013-01-01,14.0
ME,2014-01-01,14.0
ME,2015-01-01,13.2
ME,2016-01-01,12.3
ME,2017-01-01,11.3
ME,2018-01-01,11.6
ME,2019-01-01,10.9
ME,2020-01-01,10.6
ME,2021-01-01,11.2
ME,2022-01-01,10.9
ME,2023-01-01,10.5
ME,2024-01-01,10.6
MD,1989-01-01,9.3
MD,1990-01-01,
MD,1991-01-01,
MD,1992-01-01,
MD,1993-01-01,10.2
MD,1994-01-01,
MD,1995-01-01,9.2
MD,1996-01-01,9.7
MD,1997-01-01,9.5
MD,1998-01-01,8.8
MD,1999-01-01,8.0
MD,2000-01-01,7.9
MD,2001-01-01,7.7
MD,2002-01-01,8.3
MD,2003-01-01,8.8
MD,2004-01-01,9.2
MD,2005-01-01,8.3
MD,2006-01-01,8.0
MD,2007-01-01,8.3
MD,2008-01-01,8.2
MD,2009-01-01,9.2
MD,2010-01-01,9.9
MD,2011-01-01,10.2
MD,2012-01-01,10.4
MD,2013-01-01,10.2
MD,2014-01-01,10.4
MD,2015-01-01,9.9
MD,2016-01-01,9.7
MD,2017-01-01,9.4
MD,2018-01-01,9.1
MD,2019-01-01,9.1
MD,2020-01-01,9.0
MD,2021-01-01,10.3
MD,2022-01-01,9.8
MD,2023-01-01,9.7
MD,2024-01-01,9.2
MA,1989-01-01,8.4
MA,1990-01-01,
MA,1991-01-01,
MA,1992-01-01,
MA,1993-01-01,11.1
MA,1994-01-01,
MA,1995-01-01,9.7
MA,1996-01-01,9.8
MA,1997-01-01,10.7
MA,1998-01-01,9.0
MA,1999-01-01,9.7
MA,2000-01-01,8.4
MA,2001-01-01,8.2
MA,2002-01-01,9.0
MA,2003-01-01,9.5
MA,2004-01-01,9.9
MA,2005-01-01,10.3
MA,2006-01-01,10.0
MA,2007-01-01,10.0
MA,2008-01-01,10.1
MA,2009-01-01,10.3
MA,2010-01-01,11.4
MA,2011-01-01,11.6
MA,2012-01-01,11.9
MA,2013-01-01,11.9
MA,2014-01-01,11.7
MA,2015-01-01,11.5
MA,2016-01-01,10.5
MA,2017-01-01,10.5
MA,2018-01-01,10.0
MA,2019-01-01,9.5
MA,2020-01-01,9.4
MA,2021-01-01,10.4
MA,2022-01-01,10.4
MA,2023-01-01,10.5
MA,2024-01-01,9.8
MI,1989-01-01,12.1
MI,1990-01-01,
MI,1991-01-01,
MI,1992-01-01,
MI,1993-01-01,15.0
MI,1994-01-01,
MI,1995-01-01,12.6
MI,1996-01-01,12.2
MI,1997-01-01,11.5
MI,1998-01-01,11.4
MI,1999-01-01,9.9
MI,2000-01-01,9.7
MI,2001-01-01,9.8
MI,2002-01-01,10.9
MI,2003-01-01,11.0
MI,2004-01-01,12.5
MI,2005-01-01,13.1
MI,2006-01-01,13.5
MI,2007-01-01,13.9
MI,2008-01-01,14.4
MI,2009-01-01,16.1
MI,2010-01-01,16.7
MI,2011-01-01,17.5
MI,2012-01-01,17.4
MI,2013-01-01,17.0
MI,2014-01-01,16.2
MI,2015-01-01,15.7
MI,2016-01-01,14.9
MI,2017-01-01,14.1
MI,2018-01-01,14.0
MI,2019-01-01,12.9
MI,2020-01-01,12.6
MI,2021-01-01,13.0
